time,x,y,yaw,v,w,left_rpm,right_rpm,ref_x,ref_y,ref_yaw,ref_v,ref_w,ref_left_rpm,ref_right_rpm
1.6,2.81434,0.725103,71.3561,0.458077,0.285714,8.16154,10.1615,2.90575,0.74607,104.4,0.471239,0.15708,8.875,9.97456
1.61,2.8158,0.729444,71.5198,0.458077,0.285714,8.16154,10.1615,2.90457,0.750633,104.49,0.471239,0.15708,8.875,9.97456
1.62,2.81725,0.733788,71.6835,0.458077,0.285714,8.16154,10.1615,2.90339,0.755195,104.58,0.471239,0.15708,8.875,9.97456
1.63,2.81869,0.738137,71.8472,0.458077,0.285714,8.16154,10.1615,2.9022,0.759754,104.67,0.471239,0.15708,8.875,9.97456
1.64,2.82012,0.74249,72.0109,0.458077,0.285714,8.16154,10.1615,2.901,0.764312,104.76,0.471239,0.15708,8.875,9.97456
1.65,2.82154,0.746876,72.1746,0.461163,0.285714,8.22326,10.2233,2.8998,0.768868,104.85,0.471239,0.15708,8.875,9.97456
1.66,2.82296,0.751266,72.3383,0.461163,0.285714,8.22326,10.2233,2.89859,0.773422,104.94,0.471239,0.15708,8.875,9.97456
1.67,2.82435,0.75566,72.502,0.461163,0.285714,8.22326,10.2233,2.89737,0.777974,105.03,0.471239,0.15708,8.875,9.97456
1.68,2.82574,0.760059,72.6657,0.461163,0.285714,8.22326,10.2233,2.89614,0.782525,105.12,0.471239,0.15708,8.875,9.97456
1.69,2.82712,0.764461,72.8294,0.461163,0.285714,8.22326,10.2233,2.89491,0.787073,105.21,0.471239,0.15708,8.875,9.97456
1.7,2.82849,0.768895,72.9931,0.464152,0.285714,8.28304,10.283,2.89367,0.791619,105.3,0.471239,0.15708,8.875,9.97456
1.71,2.82984,0.773334,73.1568,0.464152,0.285714,8.28304,10.283,2.89243,0.796164,105.39,0.471239,0.15708,8.875,9.97456
1.72,2.83119,0.777776,73.3205,0.464152,0.285714,8.28304,10.283,2.89117,0.800706,105.48,0.471239,0.15708,8.875,9.97456
1.73,2.83252,0.782223,73.4842,0.464152,0.285714,8.28304,10.283,2.88991,0.805246,105.57,0.471239,0.15708,8.875,9.97456
1.74,2.83384,0.786673,73.6479,0.464152,0.285714,8.28304,10.283,2.88864,0.809785,105.66,0.471239,0.15708,8.875,9.97456
1.75,2.83515,0.791154,73.8116,0.467047,0.285714,8.34093,10.3409,2.88737,0.814321,105.75,0.471239,0.15708,8.875,9.97456
1.76,2.83646,0.795639,73.9753,0.467047,0.285714,8.34093,10.3409,2.88608,0.818856,105.84,0.471239,0.15708,8.875,9.97456
1.77,2.83775,0.800128,74.139,0.467047,0.285714,8.34093,10.3409,2.88479,0.823388,105.93,0.471239,0.15708,8.875,9.97456
1.78,2.83902,0.804621,74.3027,0.467047,0.285714,8.34093,10.3409,2.8835,0.827919,106.02,0.471239,0.15708,8.875,9.97456
1.79,2.84029,0.809117,74.4664,0.467047,0.285714,8.34093,10.3409,2.88219,0.832447,106.11,0.471239,0.15708,8.875,9.97456
1.8,2.84154,0.813644,74.6301,0.46985,0.285714,8.397,10.397,2.88088,0.836973,106.2,0.471239,0.15708,8.875,9.97456
